id,label,type,meeting_date,case_id,document_type,path
doc:34,Interpellation_2026_25_av_Maria_Leissner_(L)_om_Stockholms_länsmuseum_och_möjligheten_till_pop_up-verksamhet,document,2026-05-05,RS-2026-0372,interpellation,/home/demo/data/2026-05-05/27._Interpellation_2026_25_av_Maria_Leissner_(L)_om_Stockholms_länsmuseum_och_möjligheten_till_pop_up-verksamhet_RS_2026-0372/Interpellation_2026_25_av_Maria_Leissner_(L)_om_Stockholms_länsmuseum_och_möjligheten_till_pop_up-verksamhet.pdf
case:RS-2026-0372,RS-2026-0372,case,,,,
"person:Maria Leissner  
Liberalerna","Maria Leissner  
Liberalerna",person,,,,
doc:35,Svar_på_interpellation_2026_25_av_Maria_Leissner_(L)_om_Stockholms_länsmuseum_och_möjligheten_till_pop_up-verksamhet,document,2026-05-05,RS-2026-0372,interpellation,/home/demo/data/2026-05-05/27._Interpellation_2026_25_av_Maria_Leissner_(L)_om_Stockholms_länsmuseum_och_möjligheten_till_pop_up-verksamhet_RS_2026-0372/Svar_på_interpellation_2026_25_av_Maria_Leissner_(L)_om_Stockholms_länsmuseum_och_möjligheten_till_pop_up-verksamhet.pdf
"person:Personalregionråd 
Robert Johansson","Personalregionråd 
Robert Johansson",person,,,,
person:Robert Johansson,Robert Johansson,person,,,,
doc:36,Interpellation_2026_30_av_Leif_Gripestam_(M)_om_hur_Aida_Hadžialić_(S)_ämnar_säkra_att_implementeringen_av_nytt_huvudjournalsystem_går_felfritt_med_anledning_av_haverierna_runtom_i_Sverige,document,2026-05-05,unknown_case,interpellation,/home/demo/data/2026-05-05/28._Interpellation_2026_30_av_Leif_Gripestam_(M)_om_hur_Aida_Hadžialić_(S)_ämnar_säkra_att_implementeringen_av_nytt_huvudjournalsystem_går_felfritt_med_anledning_av_haverierna_runtom_i_Sverige_RS_2026/Interpellation_2026_30_av_Leif_Gripestam_(M)_om_hur_Aida_Hadžialić_(S)_ämnar_säkra_att_implementeringen_av_nytt_huvudjournalsystem_går_felfritt_med_anledning_av_haverierna_runtom_i_Sverige.pdf
person:Leif Gripestam,Leif Gripestam,person,,,,
"person:Sverige 
 
Under","Sverige 
 
Under",person,,,,
person:Cambio Healthcare Systems,Cambio Healthcare Systems,person,,,,
person:Take Care,Take Care,person,,,,
person:Regionerna Blekinge,Regionerna Blekinge,person,,,,
person:Familjeläkaren Marija Kramar,Familjeläkaren Marija Kramar,person,,,,
person:Region Gävleborg,Region Gävleborg,person,,,,
person:Region Halland,Region Halland,person,,,,
person:Dagens Medicin,Dagens Medicin,person,,,,
"person:Sveriges 
Radio","Sveriges 
Radio",person,,,,
"person:Leif Gripestam 
Moderaterna","Leif Gripestam 
Moderaterna",person,,,,
doc:37,Svar_på_interpellation_2026_30_Interpellation_av_Leif_Gripestam_(M)_om_hur_Aida_Hadžialić_(S)_ämnar_säkra_att_implementeringen_av_nytt_huvudjournalsystem_går_felfritt_med_anledning_av_haverierna_runto,document,2026-05-05,unknown_case,interpellation,/home/demo/data/2026-05-05/28._Interpellation_2026_30_av_Leif_Gripestam_(M)_om_hur_Aida_Hadžialić_(S)_ämnar_säkra_att_implementeringen_av_nytt_huvudjournalsystem_går_felfritt_med_anledning_av_haverierna_runtom_i_Sverige_RS_2026/Svar_på_interpellation_2026_30_Interpellation_av_Leif_Gripestam_(M)_om_hur_Aida_Hadžialić_(S)_ämnar_säkra_att_implementeringen_av_nytt_huvudjournalsystem_går_felfritt_med_anledning_av_haverierna_runto.pdf
"person:Leif 
Gripestam","Leif 
Gripestam",person,,,,
"person:Sverige 
 
Leif Gripenstam","Sverige 
 
Leif Gripenstam",person,,,,
